"count","c"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType140"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType65"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType138"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType95"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType102"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType142"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType"
6,"http://xmlns.com/foaf/0.1/Person"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType70"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType143"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72"
