"count","c"
151,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123"
34,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType102"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType95"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146"
28,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126"
503,"http://xmlns.com/foaf/0.1/Person"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121"
10000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
28,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer"
40,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86"
46,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57"
32,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109"
44,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67"
38,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132"
42,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94"
40,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101"
36,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134"
