count,p,oType
71,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15
1000,http://purl.org/stuff/rev#reviewer,http://xmlns.com/foaf/0.1/Person
146,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
125,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
172,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
44,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
100,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
106,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
73,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
119,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
24,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14
