"count","c"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112"
3,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType140"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType65"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69"
3,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType138"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86"
23,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType95"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType102"
21,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127"
3,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
3,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType142"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
10000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
23,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
151,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType"
503,"http://xmlns.com/foaf/0.1/Person"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType70"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType143"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150"
3,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType79"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType128"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121"
4745,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType103"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType139"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137"

